Destination,Airline,Flight,Departure,Terminal,Status,Arrival_time,A_day,Scheduled,S_day
Geneva (GVA),SWISS,LX 3217,5:55 PM,C,Landed - On-time,7:19 AM,1,7:45 AM,1
Geneva (GVA),Austrian,OS 7784,5:55 PM,C,Landed - On-time,7:19 AM,1,7:45 AM,1
Geneva (GVA),Brussels Airlines,SN 9021,5:55 PM,C,Landed - On-time,7:19 AM,1,7:45 AM,1
Frankfurt (FRA),Lufthansa,LH 403,6:00 PM,B,Landed - Delayed,7:37 AM,1,7:30 AM,1
Frankfurt (FRA),Air Canada,AC 9444,6:00 PM,B,Landed - Delayed,7:37 AM,1,7:30 AM,1
Frankfurt (FRA),United Airlines,UA 8838,6:00 PM,B,Landed - Delayed,7:37 AM,1,7:30 AM,1
London (LHR),United Airlines,UA 110,6:00 PM,C,Landed - Delayed,6:30 AM,1,6:20 AM,1
London (LHR),Air Canada,AC 5878,6:00 PM,C,Landed - Delayed,6:30 AM,1,6:20 AM,1
London (LHR),Lufthansa,LH 7628,6:00 PM,C,Landed - Delayed,6:30 AM,1,6:20 AM,1
London (LHR),SWISS,LX 3055,6:00 PM,C,Landed - Delayed,6:30 AM,1,6:20 AM,1
London (LHR),Austrian,OS 7798,6:00 PM,C,Landed - Delayed,6:30 AM,1,6:20 AM,1
Chicago (MDW),Southwest Airlines,WN 962,6:00 PM,A,Landed - Delayed,8:09 PM,,7:25 PM,
Louisville (SDF),Republic Airlines,YX 3434,6:00 PM,A,Landed - Delayed,8:22 PM,,8:23 PM,
Louisville (SDF),Air Canada,AC 3175,6:00 PM,A,Landed - Delayed,8:22 PM,,8:23 PM,
Louisville (SDF),Lufthansa,LH 7784,6:00 PM,A,Landed - Delayed,8:22 PM,,8:23 PM,
Louisville (SDF),United Airlines,UA 3434,6:00 PM,A,Landed - Delayed,8:22 PM,,8:23 PM,
San Francisco (SFO),United Airlines,UA 760,6:00 PM,C,Landed - On-time,9:16 PM,,9:25 PM,
San Francisco (SFO),Air New Zealand,NZ 9120,6:00 PM,C,Landed - On-time,9:16 PM,,9:25 PM,
San Francisco (SFO),SAS,SK 6798,6:00 PM,C,Landed - On-time,9:16 PM,,9:25 PM,
San Francisco (SFO),TAP Portugal,TP 8490,6:00 PM,C,Landed - On-time,9:16 PM,,9:25 PM,
Syracuse (SYR),ExpressJet,EV 4224,6:00 PM,A,Landed - On-time,7:34 PM,,7:24 PM,
Syracuse (SYR),Copa Airlines,CM 1394,6:00 PM,A,Landed - On-time,7:34 PM,,7:24 PM,
Syracuse (SYR),Lufthansa,LH 8616,6:00 PM,A,Landed - On-time,7:34 PM,,7:24 PM,
Syracuse (SYR),United Airlines,UA 4224,6:00 PM,A,Landed - On-time,7:34 PM,,7:24 PM,
Montreal (YUL),Sky Regional,KV 7743,6:00 PM,A,Landed - Delayed,9:12 PM,,7:20 PM,
Montreal (YUL),United Airlines,UA 8050,6:00 PM,A,Landed - Delayed,9:12 PM,,7:20 PM,
Montreal (YUL),Air Canada,AC 7743,6:00 PM,A,Landed - Delayed,9:12 PM,,7:20 PM,
