Destination,Airline,Flight,Departure,Terminal,Status,Arrival_time,A_day,Scheduled,S_day
Barcelona (BCN),Lufthansa,LH 7968,7:25 PM,C,Landed - On-time,9:08 AM,1,9:00 AM,1
Barcelona (BCN),SWISS,LX 3011,7:25 PM,C,Landed - On-time,9:08 AM,1,9:00 AM,1
Dallas (DFW),United Airlines,UA 1437,7:25 PM,C,Landed - Delayed,11:12 PM,,10:13 PM,
Dallas (DFW),SAS,SK 6768,7:25 PM,C,Landed - Delayed,11:12 PM,,10:13 PM,
Dallas (DFW),TAP Portugal,TP 8524,7:25 PM,C,Landed - Delayed,11:12 PM,,10:13 PM,
New Orleans (MSY),United Airlines,UA 904,7:28 PM,C,Landed - Delayed,10:43 PM,,9:37 PM,
New Orleans (MSY),Air Canada,AC 4818,7:28 PM,C,Landed - Delayed,10:43 PM,,9:37 PM,
New Orleans (MSY),Lufthansa,LH 7708,7:28 PM,C,Landed - Delayed,10:43 PM,,9:37 PM,
New Orleans (MSY),Austrian,OS 7741,7:28 PM,C,Landed - Delayed,10:43 PM,,9:37 PM,
New Orleans (MSY),SAS,SK 6856,7:28 PM,C,Landed - Delayed,10:43 PM,,9:37 PM,
New Orleans (MSY),TAP Portugal,TP 8582,7:28 PM,C,Landed - Delayed,10:43 PM,,9:37 PM,
Boston (BOS),United Airlines,UA 994,7:30 PM,C,Landed - Delayed,12:02 AM,1,8:55 PM,
Boston (BOS),SAS,SK 6804,7:30 PM,C,Landed - Delayed,12:02 AM,1,8:55 PM,
Boston (BOS),TAP Portugal,TP 8512,7:30 PM,C,Landed - Delayed,12:02 AM,1,8:55 PM,
Lisbon (LIS),United Airlines,UA 2703,7:30 PM,C,Landed - Delayed,7:35 AM,1,7:15 AM,1
Pittsburgh (PIT),Republic Airlines,YX 3453,7:30 PM,C,Landed - On-time,9:03 PM,,8:59 PM,
Pittsburgh (PIT),Lufthansa,LH 7870,7:30 PM,C,Landed - On-time,9:03 PM,,8:59 PM,
