time,INTuv,INTblue
0,0.916951,0
0.45073,0.916965,0
1.08926,0.917207,0
1.43026,0.916883,0
1.92929,0.916994,0
2.42897,0.916485,0
2.92926,0.916822,0
3.42899,0.917097,0
3.92933,0.917,0
4.42899,0.916953,0
4.92923,0.917277,0
5.42898,0.917306,0
5.92933,0.917151,0
6.429,0.917163,0
6.92929,0.917164,0
7.43899,0.916803,0
7.92996,0.917115,0
8.429,0.916833,0
8.92931,0.916846,0
9.429,0.916911,0
9.92932,0.916792,0
10.429,0.916505,0
10.9293,0.916908,0
11.429,0.916696,0
11.9293,0.916928,0
12.429,0.916788,0
12.9293,0.916465,0
13.429,0.916557,0
13.9393,0.916678,0
14.4298,0.916702,0
14.9293,0.91666,0
15.429,0.91723,0
15.9293,0.916996,0
16.4291,0.916773,0
16.9293,0.916564,0
17.429,0.917107,0
17.9293,0.917271,0
18.429,0.917452,0
18.9293,0.917341,0
19.429,0.916937,0
19.9293,0.916725,0
20.439,0.916847,0
20.9299,0.916594,0
21.4399,0.916887,0
21.9293,0.916583,0
22.4291,0.916876,0
22.9293,0.916903,0
23.429,0.916462,0
23.9293,0.916407,0
24.429,0.916844,0
24.9293,0.916682,0
25.429,0.916859,0
25.9293,0.916416,0
26.429,0.916148,0
26.9393,0.916219,0
27.4297,0.916229,0
27.9293,0.915825,0
28.429,0.916359,0
28.9293,0.916279,0
29.429,0.916291,0
29.9294,0.916391,0
30.429,0.91584,0
30.9293,0.916311,0
31.4291,0.91644,0
31.9293,0.916432,0
32.429,0.91651,0
32.9293,0.916182,0
33.439,0.916156,0
33.9293,0.916107,0
34.429,0.915919,0
34.9293,0.916419,0
35.4291,0.916409,0
35.9293,0.916252,0
36.4291,0.916171,0
36.9293,0.916297,0
37.429,0.916054,0
37.9293,0.916238,0
38.429,0.915924,0
38.9293,0.915785,0
39.429,0.915817,0
39.9393,0.915486,0
40.4297,0.915615,0
40.9293,0.915414,0
41.4291,0.915809,0
41.9294,0.915797,0
42.4291,0.91547,0
42.9293,0.915195,0
43.429,0.915208,0
43.9293,0.914734,0
44.429,0.914857,0
44.9294,0.914647,0
45.429,0.914557,0
45.9293,0.914526,0
46.4291,0.914131,0
46.93,0.9142,0
47.4397,0.914199,0
47.9294,0.913915,0
48.4291,0.914063,0
48.9293,0.914213,0
49.429,0.914096,0
49.9293,0.914322,0
50.429,0.914147,0
50.9293,0.913698,0
